id,name,description,slug,count,portal_link,posts_api_link,self_api_link
260712,Moto GP,,,117,https://hr.n1info.com/category/sport-klub/motogp/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260712,https://hr.n1info.com/wp-json/wp/v2/categories/260712
260927,N1 INFO,,,2245,https://hr.n1info.com/category/video/n1-info/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260927,https://hr.n1info.com/wp-json/wp/v2/categories/260927
283248,N1 Komentar,,,110,https://hr.n1info.com/category/n1-komentar/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=283248,https://hr.n1info.com/wp-json/wp/v2/categories/283248
289843,N1 specijal,,,42,https://hr.n1info.com/category/n1-specijal/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=289843,https://hr.n1info.com/wp-json/wp/v2/categories/289843
260917,N1 Studio uživo,,,1421,https://hr.n1info.com/category/video/n1-studio-uzivo/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260917,https://hr.n1info.com/wp-json/wp/v2/categories/260917
260867,NEWS,,,15278,https://hr.n1info.com/category/english/news/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260867,https://hr.n1info.com/wp-json/wp/v2/categories/260867
260922,Newsroom,,,927,https://hr.n1info.com/category/video/newsroom/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260922,https://hr.n1info.com/wp-json/wp/v2/categories/260922
260692,Nogomet,,,17725,https://hr.n1info.com/category/sport-klub/nogomet/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260692,https://hr.n1info.com/wp-json/wp/v2/categories/260692
260757,Novi dan,,,974,https://hr.n1info.com/category/video/novi-dan/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260757,https://hr.n1info.com/wp-json/wp/v2/categories/260757
260717,Ostali sportovi,,,4013,https://hr.n1info.com/category/sport-klub/ostali-sportovi/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260717,https://hr.n1info.com/wp-json/wp/v2/categories/260717
260747,Ostalo,,,628,https://hr.n1info.com/category/video/ostalo/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260747,https://hr.n1info.com/wp-json/wp/v2/categories/260747
260752,Pressing,,,564,https://hr.n1info.com/category/video/pressing/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260752,https://hr.n1info.com/wp-json/wp/v2/categories/260752
260777,Prime time,,,222,https://hr.n1info.com/category/video/prime-time/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260777,https://hr.n1info.com/wp-json/wp/v2/categories/260777
260722,Regija,,,13066,https://hr.n1info.com/category/regija/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260722,https://hr.n1info.com/wp-json/wp/v2/categories/260722
260832,Showbiz,,,5730,https://hr.n1info.com/category/showbiz/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260832,https://hr.n1info.com/wp-json/wp/v2/categories/260832
260742,Sport,,,221,https://hr.n1info.com/category/video/sport/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260742,https://hr.n1info.com/wp-json/wp/v2/categories/260742
260687,Sport Klub,,,826,https://hr.n1info.com/category/sport-klub/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260687,https://hr.n1info.com/wp-json/wp/v2/categories/260687
260727,Svijet,,,49827,https://hr.n1info.com/category/svijet/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260727,https://hr.n1info.com/wp-json/wp/v2/categories/260727
260842,Tehnologija,,,1662,https://hr.n1info.com/category/tehnologija/,https://hr.n1info.com/wp-json/wp/v2/posts?categories=260842,https://hr.n1info.com/wp-json/wp/v2/categories/260842
